# Team 0: AllInAgent, Team 1: PlayerAgent
hand_number,street,active_team,team_0_bankroll,team_1_bankroll,action_type,action_amount,team_0_cards,team_1_cards,board_cards,team_0_discarded,team_1_discarded,team_0_bet,team_1_bet
0,Pre-Flop,0,0,0,RAISE,98,"['5d', '2d']","['5h', '4s']","['8h', '4h']",,,1,1
0,Pre-Flop,1,0,0,DISCARD,0,"['5d', '2d']","['5h', '4s']","['8h', '4h']",,,2,2
0,Pre-Flop,1,0,0,CALL,0,"['5d', '2d']","['5h', '6d']","['8h', '4h']",,4s,2,2
0,Flop,0,0,0,CHECK,0,"['5d', '2d']","['5h', '6d']","['8h', '4h', '2h']",,4s,100,100
0,Flop,1,0,0,CHECK,0,"['5d', '2d']","['5h', '6d']","['8h', '4h', '2h']",,4s,100,100
0,Turn,0,0,0,CHECK,0,"['5d', '2d']","['5h', '6d']","['8h', '4h', '2h', '2s']",,4s,100,100
0,Turn,1,0,0,CHECK,0,"['5d', '2d']","['5h', '6d']","['8h', '4h', '2h', '2s']",,4s,100,100
0,River,0,0,0,CHECK,0,"['5d', '2d']","['5h', '6d']","['8h', '4h', '2h', '2s', '9h']",,4s,100,100
0,River,1,0,0,CHECK,0,"['5d', '2d']","['5h', '6d']","['8h', '4h', '2h', '2s', '9h']",,4s,100,100
1,Pre-Flop,1,-100,100,DISCARD,0,"['7h', '4h']","['5s', '3d']","['9d', '2s']",,,1,1
1,Pre-Flop,1,-100,100,CALL,0,"['7h', '4h']","['5s', '9h']","['9d', '2s']",,3d,1,1
1,Pre-Flop,0,-100,100,RAISE,98,"['7h', '4h']","['5s', '9h']","['9d', '2s']",,3d,2,2
1,Pre-Flop,1,-100,100,CALL,0,"['7h', '4h']","['5s', '9h']","['9d', '2s']",,3d,2,2
1,Flop,1,-100,100,CHECK,0,"['7h', '4h']","['5s', '9h']","['9d', '2s', '3s']",,3d,100,100
1,Flop,0,-100,100,CHECK,0,"['7h', '4h']","['5s', '9h']","['9d', '2s', '3s']",,3d,100,100
1,Turn,1,-100,100,CHECK,0,"['7h', '4h']","['5s', '9h']","['9d', '2s', '3s', '4d']",,3d,100,100
1,Turn,0,-100,100,CHECK,0,"['7h', '4h']","['5s', '9h']","['9d', '2s', '3s', '4d']",,3d,100,100
1,River,1,-100,100,CHECK,0,"['7h', '4h']","['5s', '9h']","['9d', '2s', '3s', '4d', '8d']",,3d,100,100
1,River,0,-100,100,CHECK,0,"['7h', '4h']","['5s', '9h']","['9d', '2s', '3s', '4d', '8d']",,3d,100,100
2,Pre-Flop,0,-200,200,RAISE,98,"['4s', '8s']","['6h', '7d']","['3s', '9s']",,,1,1
2,Pre-Flop,1,-200,200,DISCARD,0,"['4s', '8s']","['6h', '7d']","['3s', '9s']",,,2,2
2,Pre-Flop,1,-200,200,CALL,0,"['4s', '8s']","['6h', '3d']","['3s', '9s']",,7d,2,2
2,Flop,0,-200,200,CHECK,0,"['4s', '8s']","['6h', '3d']","['3s', '9s', 'Ah']",,7d,100,100
2,Flop,1,-200,200,CHECK,0,"['4s', '8s']","['6h', '3d']","['3s', '9s', 'Ah']",,7d,100,100
2,Turn,0,-200,200,CHECK,0,"['4s', '8s']","['6h', '3d']","['3s', '9s', 'Ah', '6d']",,7d,100,100
2,Turn,1,-200,200,CHECK,0,"['4s', '8s']","['6h', '3d']","['3s', '9s', 'Ah', '6d']",,7d,100,100
2,River,0,-200,200,CHECK,0,"['4s', '8s']","['6h', '3d']","['3s', '9s', 'Ah', '6d', '5s']",,7d,100,100
2,River,1,-200,200,CHECK,0,"['4s', '8s']","['6h', '3d']","['3s', '9s', 'Ah', '6d', '5s']",,7d,100,100
3,Pre-Flop,1,-100,100,DISCARD,0,"['4s', '5h']","['6s', '4h']","['7s', '2s']",,,1,1
3,Pre-Flop,1,-100,100,CALL,0,"['4s', '5h']","['6s', 'Ad']","['7s', '2s']",,4h,1,1
3,Pre-Flop,0,-100,100,RAISE,98,"['4s', '5h']","['6s', 'Ad']","['7s', '2s']",,4h,2,2
3,Pre-Flop,1,-100,100,CALL,0,"['4s', '5h']","['6s', 'Ad']","['7s', '2s']",,4h,2,2
3,Flop,1,-100,100,CHECK,0,"['4s', '5h']","['6s', 'Ad']","['7s', '2s', '9h']",,4h,100,100
3,Flop,0,-100,100,CHECK,0,"['4s', '5h']","['6s', 'Ad']","['7s', '2s', '9h']",,4h,100,100
3,Turn,1,-100,100,CHECK,0,"['4s', '5h']","['6s', 'Ad']","['7s', '2s', '9h', 'Ah']",,4h,100,100
3,Turn,0,-100,100,CHECK,0,"['4s', '5h']","['6s', 'Ad']","['7s', '2s', '9h', 'Ah']",,4h,100,100
3,River,1,-100,100,CHECK,0,"['4s', '5h']","['6s', 'Ad']","['7s', '2s', '9h', 'Ah', '3d']",,4h,100,100
3,River,0,-100,100,CHECK,0,"['4s', '5h']","['6s', 'Ad']","['7s', '2s', '9h', 'Ah', '3d']",,4h,100,100
4,Pre-Flop,0,0,0,RAISE,98,"['5h', '9s']","['4d', '3d']","['Ah', 'Ad']",,,1,1
4,Pre-Flop,1,0,0,DISCARD,0,"['5h', '9s']","['4d', '3d']","['Ah', 'Ad']",,,2,2
4,Pre-Flop,1,0,0,CALL,0,"['5h', '9s']","['2d', '3d']","['Ah', 'Ad']",,4d,2,2
4,Flop,0,0,0,CHECK,0,"['5h', '9s']","['2d', '3d']","['Ah', 'Ad', '9h']",,4d,100,100
4,Flop,1,0,0,CHECK,0,"['5h', '9s']","['2d', '3d']","['Ah', 'Ad', '9h']",,4d,100,100
4,Turn,0,0,0,CHECK,0,"['5h', '9s']","['2d', '3d']","['Ah', 'Ad', '9h', '2s']",,4d,100,100
4,Turn,1,0,0,CHECK,0,"['5h', '9s']","['2d', '3d']","['Ah', 'Ad', '9h', '2s']",,4d,100,100
4,River,0,0,0,CHECK,0,"['5h', '9s']","['2d', '3d']","['Ah', 'Ad', '9h', '2s', '3s']",,4d,100,100
4,River,1,0,0,CHECK,0,"['5h', '9s']","['2d', '3d']","['Ah', 'Ad', '9h', '2s', '3s']",,4d,100,100
5,Pre-Flop,1,100,-100,DISCARD,0,"['4d', '5d']","['6s', '9h']","['7h', '7s']",,,1,1
5,Pre-Flop,1,100,-100,CALL,0,"['4d', '5d']","['6s', '2d']","['7h', '7s']",,9h,1,1
5,Pre-Flop,0,100,-100,RAISE,98,"['4d', '5d']","['6s', '2d']","['7h', '7s']",,9h,2,2
5,Pre-Flop,1,100,-100,CALL,0,"['4d', '5d']","['6s', '2d']","['7h', '7s']",,9h,2,2
5,Flop,1,100,-100,CHECK,0,"['4d', '5d']","['6s', '2d']","['7h', '7s', '9s']",,9h,100,100
5,Flop,0,100,-100,CHECK,0,"['4d', '5d']","['6s', '2d']","['7h', '7s', '9s']",,9h,100,100
5,Turn,1,100,-100,CHECK,0,"['4d', '5d']","['6s', '2d']","['7h', '7s', '9s', '6d']",,9h,100,100
5,Turn,0,100,-100,CHECK,0,"['4d', '5d']","['6s', '2d']","['7h', '7s', '9s', '6d']",,9h,100,100
5,River,1,100,-100,CHECK,0,"['4d', '5d']","['6s', '2d']","['7h', '7s', '9s', '6d', '5s']",,9h,100,100
5,River,0,100,-100,CHECK,0,"['4d', '5d']","['6s', '2d']","['7h', '7s', '9s', '6d', '5s']",,9h,100,100
6,Pre-Flop,0,0,0,RAISE,98,"['2h', '8d']","['6h', '3h']","['7d', '6d']",,,1,1
6,Pre-Flop,1,0,0,DISCARD,0,"['2h', '8d']","['6h', '3h']","['7d', '6d']",,,2,2
6,Pre-Flop,1,0,0,CALL,0,"['2h', '8d']","['6h', 'Ad']","['7d', '6d']",,3h,2,2
6,Flop,0,0,0,CHECK,0,"['2h', '8d']","['6h', 'Ad']","['7d', '6d', '6s']",,3h,100,100
6,Flop,1,0,0,CHECK,0,"['2h', '8d']","['6h', 'Ad']","['7d', '6d', '6s']",,3h,100,100
6,Turn,0,0,0,CHECK,0,"['2h', '8d']","['6h', 'Ad']","['7d', '6d', '6s', '7h']",,3h,100,100
6,Turn,1,0,0,CHECK,0,"['2h', '8d']","['6h', 'Ad']","['7d', '6d', '6s', '7h']",,3h,100,100
6,River,0,0,0,CHECK,0,"['2h', '8d']","['6h', 'Ad']","['7d', '6d', '6s', '7h', '8s']",,3h,100,100
6,River,1,0,0,CHECK,0,"['2h', '8d']","['6h', 'Ad']","['7d', '6d', '6s', '7h', '8s']",,3h,100,100
7,Pre-Flop,1,-100,100,DISCARD,0,"['6s', '3s']","['4s', '6h']","['9s', '2d']",,,1,1
7,Pre-Flop,1,-100,100,CALL,0,"['6s', '3s']","['2h', '6h']","['9s', '2d']",,4s,1,1
7,Pre-Flop,0,-100,100,RAISE,98,"['6s', '3s']","['2h', '6h']","['9s', '2d']",,4s,2,2
7,Pre-Flop,1,-100,100,CALL,0,"['6s', '3s']","['2h', '6h']","['9s', '2d']",,4s,2,2
